DATA	C1	C2	C3	C4	C5	C6	C7	C8
R1	380.01	20	2790.27	15758.68	10	180	220	310
R2	550.01	40	2640.24	15648.56	40	290	300	410.01
R3	480.01	30	2630.24	16699.74	30	180	360	400.01
R4	620.01	30	2510.22	16439.44	20	180	140	390.01
R5	470.01	10	2460.21	15858.79	20	120	240	380.01
R6	710.02	10	2600.24	15878.81	60	100	300	270
R7	530.01	50	2420.2	16429.43	40	120	350	370.01
R8	600.01	10	2600.24	15948.89	50	130	180	440.01
R9	540.01	10	2320.19	15838.77	20	110	210	360
R10	580.01	50	2670.25	15248.12	70	140	290	460.01
R11	290	10	2570.23	16489.5	30	190	310	350
R12	640.01	20	2650.25	16069.02	20	110	180	340
R13	690.02	30	2550.23	15858.79	10	120	310	340
R14	520.01	30	2620.24	15528.43	30	100	250	390.01
R15	560.01	30	2470.21	16159.12	10	170	270	390.01
R16	610.01	10	2750.26	15358.24	20	190	150	430.01
R17	530.01	10	2600.24	15948.89	40	250	300	490.01
R18	480.01	20	2420.2	15077.94	0	160	250	360
R19	510.01	50	2890.29	15488.38	60	160	150	420.01
R20	570.01	0	2470.21	15658.57	10	130	260	550.01
R21	550.01	50	2300.18	15318.2	30	100	140	260
R22	500.01	30	2250.18	15528.43	20	140	190	490.01
R23	450.01	30	2680.25	14917.78	30	180	220	280
R24	390.01	50	2490.22	15258.13	40	70	260	260
R25	390.01	20	2610.24	15698.61	30	170	230	460.01
R26	540.01	10	2330.19	14877.73	20	120	270	260
R27	570.01	0	2180.17	15428.32	0	130	180	410.01
R28	550.01	70	2600.24	14727.58	40	150	330	420.01
R29	410.01	30	2640.24	15718.63	30	150	190	310
R30	400.01	40	2390.2	15178.05	10	70	190	280
R31	600.01	20	2230.17	14967.83	20	50	170	350
R32	820.02	30	2660.25	14577.42	10	220	180	400.01
R33	620.01	20	2540.22	14747.6	20	150	290	400.01
R34	460.01	30	2500.22	14407.25	30	140	210	490.01
